Variable,Value,Description,Json Variable,Mapping Value
ipRouteProto,1.3.6.1.2.1.4.21.1.9.,,,
ipRouteAge,1.3.6.1.2.1.4.21.1.10.,,,
ipRouteMask,1.3.6.1.2.1.4.21.1.11.,,,
ipRouteMetric5,1.3.6.1.2.1.4.21.1.12.,,,
ipRouteInfo,1.3.6.1.2.1.4.21.1.13.,,,
ipNetToMediaIfIndex,1.3.6.1.2.1.4.22.1.1.,,,
ipNetToMediaPhysaddress,1.3.6.1.2.1.4.22.1.2.,,,
ipNetToMediaNetAddress,1.3.6.1.2.1.4.22.1.3.,,,
ipNetToMediaType,1.3.6.1.2.1.4.22.1.4.,,,
icmpInMsgs,1.3.6.1.2.1.5.1.0,,,
icmpInErrors,1.3.6.1.2.1.5.2.0,,,
icmpInDestUnreachs,1.3.6.1.2.1.5.3.0,,,
icmpInTimeExcds,1.3.6.1.2.1.5.4.0,,,
icmpInParmProbs,1.3.6.1.2.1.5.5.0,,,
icmpInSrcQuenchs,1.3.6.1.2.1.5.6.0,,,
icmpInRedirects,1.3.6.1.2.1.5.7.0,,,
icmpInEchos,1.3.6.1.2.1.5.8.0,,,
icmpInEchoReps,1.3.6.1.2.1.5.9.0,,,
icmpInTimestamps,1.3.6.1.2.1.5.10.0,,,
icmpInTimestampReps,1.3.6.1.2.1.5.11.0,,,
icmpInAddrMasks,1.3.6.1.2.1.5.12.0,,,
icmpInAddrMaskReps,1.3.6.1.2.1.5.13.0,,,
icmpOutMsgs,1.3.6.1.2.1.5.14.0,,,
icmpOutErrors,1.3.6.1.2.1.5.15.0,,,
icmpOutDestUnreachs,1.3.6.1.2.1.5.16.0,,,
icmpOutTimeExcds,1.3.6.1.2.1.5.17.0,,,
icmpOutParmProbs,1.3.6.1.2.1.5.18.0,,,
icmpOutSrcQuenchs,1.3.6.1.2.1.5.19.0,,,
icmpOutRedirects,1.3.6.1.2.1.5.20.0,,,
icmpOutEchos,1.3.6.1.2.1.5.21.0,,,
icmpOutEchoReps,1.3.6.1.2.1.5.22.0,,,
icmpOutTimestamps,1.3.6.1.2.1.5.23.0,,,
icmpOutTimestampReps,1.3.6.1.2.1.5.24.0,,,
icmpOutAddrMasks,1.3.6.1.2.1.5.25.0,,,
icmpOutAddrMaskReps,1.3.6.1.2.1.5.26.0,,,
tcpRtoAlgorithm,1.3.6.1.2.1.6.1.0,,,
tcpRtoMin,1.3.6.1.2.1.6.2.0,,,
tcpRtoMax,1.3.6.1.2.1.6.3.0,,,
tcpMaxConn,1.3.6.1.2.1.6.4.0,,,
tcpActiveOpens,1.3.6.1.2.1.6.5.0,,,
tcpPassiveOpens,1.3.6.1.2.1.6.6.0,,,
tcpAttemptFails,1.3.6.1.2.1.6.7.0,,,
tcpEstabResets,1.3.6.1.2.1.6.8.0,,,
tcpCurrEstab,1.3.6.1.2.1.6.9.0,,,
tcpInSegs,1.3.6.1.2.1.6.10.0,,,
tcpOutSegs,1.3.6.1.2.1.6.11.0,,,
tcpRetransSegs,1.3.6.1.2.1.6.12.0,,,
tcpConnState,1.3.6.1.2.1.6.13.1.1.,,,
tcpConnLocalAddress,1.3.6.1.2.1.6.13.1.2.,,,
tcpConnLocalDUTP,1.3.6.1.2.1.6.13.1.3.,,,
tcpConnRemAddress,1.3.6.1.2.1.6.13.1.4.,,,
tcpConnRemPort,1.3.6.1.2.1.6.13.1.5.,,,
tcpInErrs,1.3.6.1.2.1.6.14.0,,,
tcpOutRsts,1.3.6.1.2.1.6.15.0,,,
udpInDatagrams,1.3.6.1.2.1.7.1.0,,,
udpNoPorts,1.3.6.1.2.1.7.2.0,,,
udpInErrors,1.3.6.1.2.1.7.3.0,,,
udpOutDatagrams,1.3.6.1.2.1.7.4.0,,,
udpLocalAddress,1.3.6.1.2.1.7.5.1.1.,,,
udpLocalPort,1.3.6.1.2.1.7.5.1.2.,,,
snmpInPkts,1.3.6.1.2.1.11.1.0,,,
snmpOutPkts,1.3.6.1.2.1.11.2.0,,,
snmpInBadVersions,1.3.6.1.2.1.11.3.0,,,
snmpInBadCommunityNames,1.3.6.1.2.1.11.4.0,,,
snmpInBadCommunityUses,1.3.6.1.2.1.11.5.0,,,
snmpInASNParseErrs,1.3.6.1.2.1.11.6.0,,,
snmpInTooBigs,1.3.6.1.2.1.11.8.0,,,
snmpInNoSuchNames,1.3.6.1.2.1.11.9.0,,,
snmpInBadValues,1.3.6.1.2.1.11.10.0,,,
snmpInReadOnlys,1.3.6.1.2.1.11.11.0,,,
snmpInGenErrs,1.3.6.1.2.1.11.12.0,,,
snmpInTotalReqVars,1.3.6.1.2.1.11.13.0,,,
snmpInTotalSetVars,1.3.6.1.2.1.11.14.0,,,
snmpInGetRequests,1.3.6.1.2.1.11.15.0,,,
snmpInGetNexts,1.3.6.1.2.1.11.16.0,,,
snmpInSetRequests,1.3.6.1.2.1.11.17.0,,,
snmpInGetResponses,1.3.6.1.2.1.11.18.0,,,
snmpInTraps,1.3.6.1.2.1.11.19.0,,,
snmpOutTooBigs,1.3.6.1.2.1.11.20.0,,,
snmpOutNoSuchNames,1.3.6.1.2.1.11.21.0,,,
snmpOutBadValues,1.3.6.1.2.1.11.22.0,,,
snmpOutGenErrs,1.3.6.1.2.1.11.24.0,,,
snmpOutGetRequests,1.3.6.1.2.1.11.25.0,,,
snmpOutGetNexts,1.3.6.1.2.1.11.26.0,,,
snmpOutSetRequests,1.3.6.1.2.1.11.27.0,,,
snmpOutGetResponses,1.3.6.1.2.1.11.28.0,,,
snmpOutTraps,1.3.6.1.2.1.11.29.0,,,
snmpEnableAuthenTraps,1.3.6.1.2.1.11.30.0,,,
snmpEngine,1.3.6.1.6.3.10.2.1.,,,
snmpEngineID,1.3.6.1.6.3.10.2.1.1.0,,,
snmpEngineBoots,1.3.6.1.6.3.10.2.1.2.0,,,
snmpEngineTime,1.3.6.1.6.3.10.2.1.3.0,,,
snmpEngineMaxMessageSize,1.3.6.1.6.3.10.2.1.4.0,,,
entPhysicalDescr,1.3.6.1.2.1.47.1.1.1.1.2.,,,
entPhysicalVendorType,1.3.6.1.2.1.47.1.1.1.1.3.,,,
entPhysicalContainedIn,1.3.6.1.2.1.47.1.1.1.1.4.,,,
entPhysicalClass,1.3.6.1.2.1.47.1.1.1.1.5.,,,
entPhysicalParentRelPos,1.3.6.1.2.1.47.1.1.1.1.6.,,,
entPhysicalName,1.3.6.1.2.1.47.1.1.1.1.7.,,,
entPhysicalHardwareRev,1.3.6.1.2.1.47.1.1.1.1.8.,,,
entPhysicalFirmwareRev,1.3.6.1.2.1.47.1.1.1.1.9.,,,
entPhysicalSoftwareRev,1.3.6.1.2.1.47.1.1.1.1.10.,,,
entPhysicalSerialNum,1.3.6.1.2.1.47.1.1.1.1.11.,,,
entPhysicalMfgName,1.3.6.1.2.1.47.1.1.1.1.12.,,,
entPhysicalIsFRU,1.3.6.1.2.1.47.1.1.1.1.16.,,,
hwEntityAdminStatus,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.1.,,,
hwEntityOperStatus,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.2.,,,
hwEntityStandbyStatus,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.3.,,,
hwEntityCpuUsage,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.5.,,,
hwEntityCpuUsageThreshold,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.6.,,,
hwEntityMemUsage,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.7.,,,
hwEntityMemUsageThreshold,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.8.,,,
hwEntityMemSize,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.9.,,,
hwEntityUpTime,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.10.,,,
hwEntityTemperature,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.11.,,,
hwEntityPortType,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.20.,,,
hwEntityDuplex,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.21.,,,
hwEntityBomId,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.1.,,,
hwEntityBomEnDesc,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.2.,,,
hwEntityBomLocalDesc,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.3.,,,
hwEntityManufacturedDate,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.4.,,,
hwEntityCLEICode,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.6.,,,
hwEntityArchivesInfoVersion,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.8.,,,
hwEntityOpenBomId,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.9.,,,
hwEntityIssueNum,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.10.,,,
hwEntityBoardType,1.3.6.1.4.1.2011.5.25.31.1.1.2.1.11.,,,
hwEntityOpticalVendorSn,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.4.,,,
hwEntityOpticalTemperature,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.5.,,,
hwEntityOpticalVoltage,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.6.,,,
hwEntityOpticalBiasCurrent,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.7.,,,
hwEntityOpticalRxPower,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.8.,,,
hwEntityOpticalTxPower,1.3.6.1.4.1.2011.5.25.31.1.1.3.1.9.,,,
hwVirtualCableTestOperation,1.3.6.1.4.1.2011.5.25.31.1.1.7.1.4.,,,
hwVirtualCableTestLastTime,1.3.6.1.4.1.2011.5.25.31.1.1.7.1.5.,,,
hwVirtualCableTestPairAStatus,1.3.6.1.4.1.2011.5.25.31.1.1.7.1.6.,,,
dot1dTpLearnedEntryDiscards,1.3.6.1.2.1.17.4.1.0,,,
dot1dTpAgingTime,1.3.6.1.2.1.17.4.2.0,,,
dot1dTpFdbAddress,1.3.6.1.2.1.17.4.3.1.1.,,,
dot1dTpFdbPort,1.3.6.1.2.1.17.4.3.1.2.,,,
dot1dTpFdbStatus,1.3.6.1.2.1.17.4.3.1.3.,,,
dot1dTpPort,1.3.6.1.2.1.17.4.4.1.1.,,,
dot1dTpPortMaxInfo,1.3.6.1.2.1.17.4.4.1.2.,,,
dot1dTrafficClassesEnabled,1.3.6.1.2.1.17.6.1.1.2.0,,,
dot1dPortCapabilities,1.3.6.1.2.1.17.6.1.1.4.1.1.,,,
dot1qVlanVersionNumber,1.3.6.1.2.1.17.7.1.1.1.0,,,
dot1qMaxVlanId,1.3.6.1.2.1.17.7.1.1.2.0,,,
dot1qMaxSupportedVlans,1.3.6.1.2.1.17.7.1.1.3.0,,,
dot1qNumVlans,1.3.6.1.2.1.17.7.1.1.4.0,,,
dot1qGvrpStatus,1.3.6.1.2.1.17.7.1.1.5.0,,,
dot1qVlanNumDeletes,1.3.6.1.2.1.17.7.1.4.1.0,,,
dot1qVlanTimeMark,1.3.6.1.2.1.17.7.1.4.2.1.1,,,
dot1qVlanIndex,1.3.6.1.2.1.17.7.1.4.2.1.2,,,
dot1qVlanFdbId,1.3.6.1.2.1.17.7.1.4.2.1.3.,,,
dot1qVlanCurrentEgressPorts,1.3.6.1.2.1.17.7.1.4.2.1.4.,,,
dot1qVlanCurrentUntaggedPorts,1.3.6.1.2.1.17.7.1.4.2.1.5.,,,
dot1qVlanStatus,1.3.6.1.2.1.17.7.1.4.2.1.6.,,,
dot1qVlanCreationTime,1.3.6.1.2.1.17.7.1.4.2.1.7.,,,
dot1qVlanStaticName,1.3.6.1.2.1.17.7.1.4.3.1.1.,,,
dot1qVlanStaticEgressPorts,1.3.6.1.2.1.17.7.1.4.3.1.2.,,,
dot1qVlanForbiddenEgressPorts,1.3.6.1.2.1.17.7.1.4.3.1.3.,,,
dot1qVlanStaticUntaggedPorts,1.3.6.1.2.1.17.7.1.4.3.1.4.,,,
dot1qVlanStaticRowStatus,1.3.6.1.2.1.17.7.1.4.3.1.5.,,,
dot1qNextFressLocalVlanIndex,1.3.6.1.2.1.17.7.1.4.4.0,,,
dot1qPvid,1.3.6.1.2.1.17.7.1.4.5.1.1.,,,
dot1qPortGvrpStatus,1.3.6.1.2.1.17.7.1.4.5.1.4.,,,
dot1qPortGvrpFailedRegistrations,1.3.6.1.2.1.17.7.1.4.5.1.5.,,,
dot1qPortGvrpLastPduOrigin,1.3.6.1.2.1.17.7.1.4.5.1.6.,,,
dot1qConstraintVlan,1.3.6.1.2.1.17.7.1.4.8.1.1,,,
dot1qConstraintSet,1.3.6.1.2.1.17.7.1.4.8.1.2.,,,
dot1qConstraintType,1.3.6.1.2.1.17.7.1.4.8.1.3.,,,
dot1qConstraintStatus,1.3.6.1.2.1.17.7.1.4.8.1.4.,,,
dot1qConstraintSetDefault,1.3.6.1.2.1.17.7.1.4.9.0,,,
dot1qConstraintTypeDefault,1.3.6.1.2.1.17.7.1.4.10.0,,,
hwEntityTemperatureThreshold,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.12.,,,
hwEntityTemperatureLowThreshold,1.3.6.1.4.1.2011.5.25.31.1.1.1.1.16.,,,
hwEntityFanSlot,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.1.,,,
hwEntityFanSn,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.2.,,,
hwEntityFanReg,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.3.,,,
hwEntityFanSpdAdjMode,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.4.,,,
hwEntityFanSpeed,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.5.,,,
hwEntityFanPresent,1.3.6.1.4.1.2011.5.25.31.1.1.10.1.5.,,,
entLogicalIndex,1.3.6.1.2.1.47.1.2.1.1.1.,,,
entLogicalDescr,1.3.6.1.2.1.47.1.2.1.1.2.1.0,,,
entLogicalType,1.3.6.1.2.1.47.1.2.1.1.3.1.0,,,
entLogicalTAddress,1.3.6.1.2.1.47.1.2.1.1.5.1.0,,,
entLogicalTDomain,1.3.6.1.2.1.47.1.2.1.1.6.1.0,,,
entLogicalContextEngineID,1.3.6.1.2.1.47.1.2.1.1.7.1.0,,,
entAliasLogicalIndexOrZero,1.3.6.1.2.1.47.1.3.2.1.1,,,
entAliasMappingIdentifier,1.3.6.1.2.1.47.1.3.2.1.2.1001.1.0,,,
entPhysicalChildIndex,1.3.6.1.2.1.47.1.3.3.1.1.,,,
entConfigChange,1.3.6.1.2.1.47.2.0.1.,,,
ipAdEntReasmMaxSize,1.3.6.1.2.1.4.20.1.5.,,,
entPhysicalIndex,1.3.6.1.2.1.47.1.1.1.1.1.,,,
hwVirtualCableTestIfIndex,1.3.6.1.4.1.2011.5.25.31.1.1.7.1.1.,,,
